worker_id,name,phone_no,assigned_role,date_of_joining,rating,workerpassword
113,nargesh,7111110095,2,2023-06-16,0.49,ZL-7JFb#C*=x
114,bhteri,9382372816,1,2024-03-09,1.12,us:@?^!Jz8SL
115,khimanand,9135168977,2,2024-11-14,3.98,FWxsR*0|0GK<
116,ganga,9409056210,2,2024-01-15,2.65,H8x0/(toN|d%
117,radha,9416559058,4,2023-07-17,2.25,J#_yfh24y?o4
118,aneeta,6188174805,2,2024-10-07,2.86,HhN]Ju{^{S?3
119,chandani,7042569173,2,2023-12-12,4.18,JTIuq7bO>whG
120,nikahat,6611296731,2,2025-02-13,4.41,F9?Q)?dg#q1g
121,honey,8774946783,1,2024-11-05,0.86,f.:^b<[|_*&g
122,galiya,7293761504,2,2024-01-26,4.34,-A+=JU= l5ue
123,ranita,6809419748,1,2023-03-04,4.16,",IG=sHbPmPkR"
124,lalital,8347489768,2,2025-01-14,1.75,MN8@n75/Tl|:
125,genda,8652954601,4,2025-01-26,4.76,*}@N^EBSBXZ7
126,eshavarya,7813923825,1,2025-01-31,2.72,tWi+rK*uxeU&
127,shanta,9031423483,2,2024-03-02,1.17,en6?JJ0CmUg:
128,jitendr,6539690492,2,2024-05-14,0.13,"5WT,rMl})+o5"
129,baljinder,6749797374,2,2024-03-12,2.16,.o>+AP%GfLNZ
130,nawed,7364863487,2,2024-04-18,0.27,@a+0d-F$Bj-[
