user_id,username,email,building,roomno,userpassword
2021116,harendra,harendra21116@iiitd.ac.in,,,1g(9|*KPLx5h
2021117,sagan,sagan21117@iiitd.ac.in,,,%kH7MOx|zoWm
2021118,sakina,sakina21118@iiitd.ac.in,H1 boys hostel,103,[_hO{P BJ}!=
2021119,bhanupriya,bhanupriya21119@iiitd.ac.in,Girls Hostel,510,JH-4uP5RE3nV
2021120,surti,surti21120@iiitd.ac.in,,,W_&{5TBoU@wX
2021121,nagia,nagia21121@iiitd.ac.in,,,&{:>(u%x)g_)
2021122,begumpur,begumpur21122@iiitd.ac.in,,,"lb,eb!?0lKw["
2021123,vipan,vipan21123@iiitd.ac.in,,,FXd|1/7lTwO1
2021124,akhileshwer,akhileshwer21124@iiitd.ac.in,Girls Hostel,821,ARJg/l)Y<11.
2021125,gawali,gawali21125@iiitd.ac.in,,,h&poKU<0No6k
2021126,digamber,digamber21126@iiitd.ac.in,,,n=rD5&Y2ZB9t
2021127,shabbenour,shabbenour21127@iiitd.ac.in,,,2lJ5h]9%<Qyl
2021128,binja,binja21128@iiitd.ac.in,,,hfwnVcOSL!@c
2021129,omparkesh,omparkesh21129@iiitd.ac.in,,,!eGA/3qj#8fS
2021130,jadu,jadu21130@iiitd.ac.in,H2 boys hostel,203,39OmOA#7|jGM
2021131,dhara,dhara21131@iiitd.ac.in,,,B3L@h%4gR-=3
2021132,kuntesh,kuntesh21132@iiitd.ac.in,,,<|@)DtU#(D.m
2021133,brahmanand,brahmanand21133@iiitd.ac.in,H2 boys hostel,902,s)xt-d-lNEnR
2021134,ravita,ravita21134@iiitd.ac.in,,,1*xc.dvwV$7S
2021135,aansu,aansu21135@iiitd.ac.in,Girls Hostel,519,?k2<]aE_{m{2
2021136,serul,serul21136@iiitd.ac.in,Girls Hostel,507,F}05dX|qEC=[
2021137,yashbir,yashbir21137@iiitd.ac.in,Old Boys Hostel,321,b{+4fHb+fr]o
2021138,aasim,aasim21138@iiitd.ac.in,,,Z5OAq0rqT+8[
2021139,shrikant,shrikant21139@iiitd.ac.in,Old Boys Hostel,209,V<IdA_]!:n}W
2021140,ishatkar,ishatkar21140@iiitd.ac.in,,,DGZv@mC[]Z.$
2021141,afzaj,afzaj21141@iiitd.ac.in,H2 boys hostel,719,3S_Pd{{yy#?L
2021142,awdesh,awdesh21142@iiitd.ac.in,,,y)Ctp^&(lD2H
2021143,arshi,arshi21143@iiitd.ac.in,,,<GTcd-%p%U<}
2021144,geetu,geetu21144@iiitd.ac.in,,,GZey{!GmXa+C
2021145,halima,halima21145@iiitd.ac.in,H2 boys hostel,615,dDOk2dIjL!}R
2021146,ansu,ansu21146@iiitd.ac.in,Girls Hostel,12,P4w]##d*=]x)
2021147,banarsi,banarsi21147@iiitd.ac.in,H1 boys hostel,320,P54e:*o$$B9v
2021148,yasar,yasar21148@iiitd.ac.in,,,1%dW{AAa3n$e
2021149,kalpadma,kalpadma21149@iiitd.ac.in,H2 boys hostel,302,"Vj EJ+W}QcW,"
2021150,samaiali,samaiali21150@iiitd.ac.in,,,8/9K@h!CTFD@
2021151,jioty,jioty21151@iiitd.ac.in,,,iNz|n)1q<P3o
2021152,ravina,ravina21152@iiitd.ac.in,Girls Hostel,422,#DIWeEf2C1^A
2021153,adil,adil21153@iiitd.ac.in,H1 boys hostel,902,zaE8[?lde^hM
2021154,rampati,rampati21154@iiitd.ac.in,,,j6RWCH]5jcE^
2021155,salupa,salupa21155@iiitd.ac.in,Girls Hostel,211,+I)4NI7eU)n5
2021156,khushboo,khushboo21156@iiitd.ac.in,H1 boys hostel,606,"?isiYkx3XUW,"
2021157,vijeta,vijeta21157@iiitd.ac.in,,,P/]hBXF03.cz
2021158,dharminder,dharminder21158@iiitd.ac.in,Girls Hostel,518,f0<L|)E{RUSn
2021159,faraha,faraha21159@iiitd.ac.in,,,@JcJ^3lvtHVp
2021160,anash,anash21160@iiitd.ac.in,Old Boys Hostel,801,Yr<3u-!(q^fJ
2021161,heeralal,heeralal21161@iiitd.ac.in,Old Boys Hostel,821,5oIdINA%?*[x
2021162,shishram,shishram21162@iiitd.ac.in,,,tn*-U<PbG<qj
2021163,gamer,gamer21163@iiitd.ac.in,,,tLdmUsvB]8Z{
2021164,shushil,shushil21164@iiitd.ac.in,,,ws$!eL_KxpYK
2021165,susanto,susanto21165@iiitd.ac.in,,,",,+Qtd^(Fo5Z"
2021166,fateh,fateh21166@iiitd.ac.in,Girls Hostel,610,Q5c-FhLbJ[UA
2021167,vaibhav,vaibhav21167@iiitd.ac.in,,,>84xqC(|W=j$
2021168,sumita,sumita21168@iiitd.ac.in,H1 boys hostel,103,Z)r}Kb7@Gk V
2021169,naim,naim21169@iiitd.ac.in,Old Boys Hostel,609,q&a@pmD{5NR%
2021170,aanad,aanad21170@iiitd.ac.in,,,hIpYCzEcQYA5
2021171,jitu,jitu21171@iiitd.ac.in,Girls Hostel,101,W<}QPeRE$M<U
2021172,mercy,mercy21172@iiitd.ac.in,,,Wql ncgII$qx
2021173,shohan,shohan21173@iiitd.ac.in,H2 boys hostel,406,0H +W@fo23vR
2021174,bhawari,bhawari21174@iiitd.ac.in,Girls Hostel,702,YemK<Md wNzK
2021175,adesh,adesh21175@iiitd.ac.in,,,C 0E?EV*oAYO
2021176,agrej,agrej21176@iiitd.ac.in,H1 boys hostel,609,#KP%4UJ]ma>y
2021177,gurcharan,gurcharan21177@iiitd.ac.in,,,y_AthJW^Id|6
2021178,jeenat,jeenat21178@iiitd.ac.in,,,Zj$5!0xYJN[@
2021179,sinder,sinder21179@iiitd.ac.in,Girls Hostel,107,og^l5]3ac8Ut
2021180,moona,moona21180@iiitd.ac.in,H2 boys hostel,904,5z*dA$0^C?74
2021181,neelima,neelima21181@iiitd.ac.in,,,f:a_ooccB*0r
2021182,chosh,chosh21182@iiitd.ac.in,H1 boys hostel,1016,!d u}kW-%){L
2021183,mahavir,mahavir21183@iiitd.ac.in,,,p5!}.s<hDElf
2021184,shakuntla,shakuntla21184@iiitd.ac.in,,,J(_NGJGp_w81
2021185,shimran,shimran21185@iiitd.ac.in,Old Boys Hostel,110,}QAuPW293C??
2021186,rijwan,rijwan21186@iiitd.ac.in,,,]AwnH!NYN_9J
2021187,kashi,kashi21187@iiitd.ac.in,,,XmrikI!9IEB[
2021188,ishita,ishita21188@iiitd.ac.in,Girls Hostel,210,nnT]!70=NU==
2021189,shivram,shivram21189@iiitd.ac.in,,,t[R@xZ17sUdk
2021190,aansu,aansu21190@iiitd.ac.in,Old Boys Hostel,222, >bd6w^DNn5Y
2021191,saheen,saheen21191@iiitd.ac.in,H1 boys hostel,1021,AQm.Oz8#<w&x
2021192,sarafat,sarafat21192@iiitd.ac.in,H1 boys hostel,1004,&Zg_5{br6)$^
2021193,viriya,viriya21193@iiitd.ac.in,H1 boys hostel,802,:B+me*Qb!d!H
2021194,similata,similata21194@iiitd.ac.in,Girls Hostel,504,_C7PnMB8a 4$
2021195,sarangthem,sarangthem21195@iiitd.ac.in,H2 boys hostel,316,"i,m)>L k?0b3"
2021196,parash,parash21196@iiitd.ac.in,H1 boys hostel,716,>#cbU7 Y)q9X
2021197,sandip,sandip21197@iiitd.ac.in,Girls Hostel,121,]|)#(3A#J5>h
2021198,ramswroop,ramswroop21198@iiitd.ac.in,Old Boys Hostel,303,AL**Loo]+8Dj
2021199,sarla,sarla21199@iiitd.ac.in,H1 boys hostel,917,BB({ h5>ef7)
2021200,dheeraj,dheeraj21200@iiitd.ac.in,H1 boys hostel,116,t7]O%qd5^$FP
2021201,kranti,kranti21201@iiitd.ac.in,H1 boys hostel,304,6&SGWd9_6ROf
2021202,abhilash,abhilash21202@iiitd.ac.in,Old Boys Hostel,302,"VH$?6we5,aIX"
2021203,afroz,afroz21203@iiitd.ac.in,,, /s|SaNiYrBT
2021204,sudama,sudama21204@iiitd.ac.in,H1 boys hostel,122,Qxf@f/jv(q+M
2021205,prabhjeet,prabhjeet21205@iiitd.ac.in,Old Boys Hostel,8,Om?c0<pC+$DA
2021206,sarju,sarju21206@iiitd.ac.in,,,$9QR*1x%*9zL
2021207,jamna,jamna21207@iiitd.ac.in,H1 boys hostel,117,?f)FQE{yx?1p
2021208,dhirpal,dhirpal21208@iiitd.ac.in,Old Boys Hostel,213,<GWJ@AR}HF&s
2021209,rukhsna,rukhsna21209@iiitd.ac.in,H1 boys hostel,409,xV?x.q-[SZlJ
2021210,guljar,guljar21210@iiitd.ac.in,H2 boys hostel,608,7>pc8e&!/BL7
2021211,ruksana,ruksana21211@iiitd.ac.in,H1 boys hostel,311,Mh7*&{B64P]4
2021212,subham,subham21212@iiitd.ac.in,,,x$M@Gsk{yu7@
2021213,khushal,khushal21213@iiitd.ac.in,,,hAzbj_)met[B
2021214,rijwan,rijwan21214@iiitd.ac.in,H2 boys hostel,219,#wBuyo7-hs5T
2021215,sankar,sankar21215@iiitd.ac.in,H2 boys hostel,922,_#7XR++b &RW
2021216,adesh,adesh21216@iiitd.ac.in,H2 boys hostel,402,k7BqJ5.CVVSw
2021217,shipra,shipra21217@iiitd.ac.in,H1 boys hostel,102,m}oe0Y>menQX
2021218,aabida,aabida21218@iiitd.ac.in,,,Bmmw6+/HHo_O
2021219,rajwanti,rajwanti21219@iiitd.ac.in,Old Boys Hostel,812,KE2{G}B6=7]V
2021220,aliya,aliya21220@iiitd.ac.in,,,4CPRlz!*ja J
2021221,aajad,aajad21221@iiitd.ac.in,H2 boys hostel,1003,nD]?tDr/oLtw
2021222,vaibhav,vaibhav21222@iiitd.ac.in,H2 boys hostel,819,-1[=}*3AMMR]
2021223,hazira,hazira21223@iiitd.ac.in,Old Boys Hostel,407,yoqBJM*3L*@o
2021224,aamina,aamina21224@iiitd.ac.in,,,"sSw|8 ,uah(r"
2021225,lalu,lalu21225@iiitd.ac.in,,,Gve:lkB 0)}M
2021226,chosh,chosh21226@iiitd.ac.in,Old Boys Hostel,114,^}3Xw*J*B(rb
2021227,bhalaram,bhalaram21227@iiitd.ac.in,Girls Hostel,404,DD+>J9_Lr0Nu
2021228,aysha,aysha21228@iiitd.ac.in,,,".oQG0z2 ^(,P"
2021229,aleesha,aleesha21229@iiitd.ac.in,,,"r{FuPi6MI{2,"
2021230,lata,lata21230@iiitd.ac.in,,,>A$p_M8#[NIU
2021231,ratn,ratn21231@iiitd.ac.in,Girls Hostel,420,2(0@%4|Y8w#_
2021232,ranki,ranki21232@iiitd.ac.in,,,4sE(CEWF|BYc
2021233,mitali,mitali21233@iiitd.ac.in,,,$*son3mpwP=T
2021234,roopnarayan,roopnarayan21234@iiitd.ac.in,,,.|-:3asW48/R
2021235,handu,handu21235@iiitd.ac.in,,,T4231.DoV/IX
2021236,ragni,ragni21236@iiitd.ac.in,H1 boys hostel,906,ZFUyQm#o/ARu
2021237,latesh,latesh21237@iiitd.ac.in,Old Boys Hostel,405,Jbz&3Ty.nTj%
2021238,damodar,damodar21238@iiitd.ac.in,H1 boys hostel,709,:=Db[^.4_hHx
2021239,aswin,aswin21239@iiitd.ac.in,,,"N(j,4Rhue8 K"
2021240,kanta,kanta21240@iiitd.ac.in,H1 boys hostel,408,W/sxLGuZ(%o8
2021241,ashok,ashok21241@iiitd.ac.in,,,/)oirE/(4C/4
2021242,aabida,aabida21242@iiitd.ac.in,H1 boys hostel,615,r7_C1^lL$A@D
2021243,gya,gya21243@iiitd.ac.in,,,"v+,fH,y:p0fy"
2021244,amlesh,amlesh21244@iiitd.ac.in,,,2dZC_IgP<e^R
2021245,naval,naval21245@iiitd.ac.in,Girls Hostel,117,"Uz=+EGW,9tg<"
2021246,lehru,lehru21246@iiitd.ac.in,,,(QW}D?:W?DkK
2021247,yashbir,yashbir21247@iiitd.ac.in,,,|dct]y^e-0-i
2021248,bada,bada21248@iiitd.ac.in,,,v+>v_?pGVYo$
2021249,motilal,motilal21249@iiitd.ac.in,,,"KI@hxj]tE,&F"
2021250,dilish,dilish21250@iiitd.ac.in,H1 boys hostel,121,hW$mDfV#e%hg
2021251,zahira,zahira21251@iiitd.ac.in,,,",BMAAfRyu:3K"
2021252,jaiprakash,jaiprakash21252@iiitd.ac.in,,,L)iYUz1xFA}f
2021253,rizvana,rizvana21253@iiitd.ac.in,,,%brEEE?ImQO&
2021254,vashisast,vashisast21254@iiitd.ac.in,,,1979SCzJgk%2
2021255,soyam,soyam21255@iiitd.ac.in,H1 boys hostel,4,ra^e/11:N$Y7
2021256,nirvat,nirvat21256@iiitd.ac.in,,,}BD6aDdRd_?{
2021257,jebi,jebi21257@iiitd.ac.in,Girls Hostel,805,"J{^,X rw_&?&"
2021258,muqhtar,muqhtar21258@iiitd.ac.in,,,^%%.6W@AXKu^
2021259,panchoo,panchoo21259@iiitd.ac.in,,,]lJ?KTb}_aS?
2021260,mankuri,mankuri21260@iiitd.ac.in,,,u|##O)C7#>Yt
2021261,deewan,deewan21261@iiitd.ac.in,H2 boys hostel,206,9I4cG^BM7=sG
2021262,manak,manak21262@iiitd.ac.in,Girls Hostel,320,Y1$UK2rFni9U
2021263,rupal,rupal21263@iiitd.ac.in,Old Boys Hostel,201,83g6_*1x8SGi
2021264,aansu,aansu21264@iiitd.ac.in,,,MnV9tu>LuUNj
2021265,tanish,tanish21265@iiitd.ac.in,,,zh2gc?Eeo6Z^
2021266,ravina,ravina21266@iiitd.ac.in,,,QS2KVG#JRg0(
2021267,sanjai,sanjai21267@iiitd.ac.in,H1 boys hostel,307,@PT${jPei9aG
2021268,radhab,radhab21268@iiitd.ac.in,,,(9J2(874DAlE
2021269,shabbenour,shabbenour21269@iiitd.ac.in,,,CSBet5:C2pi{
2021270,asarfi,asarfi21270@iiitd.ac.in,Old Boys Hostel,210,y>_<V-u)FK>6
2021271,rakhi,rakhi21271@iiitd.ac.in,,,l2i+Q+h0Z]qb
2021272,faraha,faraha21272@iiitd.ac.in,H2 boys hostel,302,"qA*Hh^54u%3,"
2021273,chanderkanta,chanderkanta21273@iiitd.ac.in,Old Boys Hostel,418,8lt!WI&u]*Ob
2021274,janki,janki21274@iiitd.ac.in,,,<2x!k+:}W2tq
2021275,janmesh,janmesh21275@iiitd.ac.in,H2 boys hostel,222,Z_sih3J$IPZ>
2021276,parash,parash21276@iiitd.ac.in,Girls Hostel,717,Gm&j$H$4JN[?
2021277,tushal,tushal21277@iiitd.ac.in,,,",-[t}V[Vk2AW"
2021278,maisan,maisan21278@iiitd.ac.in,H1 boys hostel,1003,%Eas.P:tN:j=
2021279,sarah,sarah21279@iiitd.ac.in,H1 boys hostel,607,V3S7F7?/95:m
2021280,sakuntla,sakuntla21280@iiitd.ac.in,,,.Kq+mW!3SmXW
2021281,liveri,liveri21281@iiitd.ac.in,Old Boys Hostel,619,HDFxAgWuBB@0
2021282,harmeet,harmeet21282@iiitd.ac.in,Old Boys Hostel,3,yhq=r5k+O +a
2021283,sagiran,sagiran21283@iiitd.ac.in,Old Boys Hostel,510,"mxY0Qo,H[+JE"
2021284,partik,partik21284@iiitd.ac.in,,,]4Dg{OgX3$T{
2021285,hira,hira21285@iiitd.ac.in,,,CRv/12-l63xS
2021286,hardik,hardik21286@iiitd.ac.in,,,nRM$7lt45YsY
2021287,subin,subin21287@iiitd.ac.in,H2 boys hostel,706,"8$.),dv{%I>0"
2021288,sanny,sanny21288@iiitd.ac.in,,,5xet+L1bfMym
2021289,munmun,munmun21289@iiitd.ac.in,H2 boys hostel,710,+:Mo_Meum?7)
2021290,harishankar,harishankar21290@iiitd.ac.in,Old Boys Hostel,612,spoA7JP0<H32
2021291,munne,munne21291@iiitd.ac.in,Girls Hostel,508,nc%v*}X[RT*Y
2021292,taushif,taushif21292@iiitd.ac.in,,,w7KfX*NDz1iT
2021293,babupuri,babupuri21293@iiitd.ac.in,,,)+gF8XhbqV!F
2021294,dariya,dariya21294@iiitd.ac.in,Girls Hostel,219,oyIZ:9fnpwYW
2021295,fauji,fauji21295@iiitd.ac.in,,,Z+hApAY?YzrC
2021296,tanvi,tanvi21296@iiitd.ac.in,H1 boys hostel,206,G=<.V%O&^@}W
2021297,subhas,subhas21297@iiitd.ac.in,,,A&695hzE5+Gn
2021298,foranti,foranti21298@iiitd.ac.in,H1 boys hostel,701,ImC%O1h.U7w^
2021299,kalpadma,kalpadma21299@iiitd.ac.in,,,]&HLyrG3i97-
2021300,babalu,babalu21300@iiitd.ac.in,,,#!Al2p***8Ko
2021301,ekram,ekram21301@iiitd.ac.in,,,Aky* eg$kOoi
2021302,arzoo,arzoo21302@iiitd.ac.in,H1 boys hostel,614,gTodd-=kHNdi
2021303,shamsuddin,shamsuddin21303@iiitd.ac.in,,,!!H!dm}<YzBD
2021304,meer,meer21304@iiitd.ac.in,Old Boys Hostel,702,E{[WW^|IoR:F
2021305,abhinandan,abhinandan21305@iiitd.ac.in,H1 boys hostel,1001,E{t2j1Oc_Ay1
2021306,satan,satan21306@iiitd.ac.in,,,-y0Y--pI^P1d
2021307,bhasker,bhasker21307@iiitd.ac.in,Girls Hostel,18,llcct3xJVIIY
2021308,salupa,salupa21308@iiitd.ac.in,,,:XjT!y:t6 a:
2021309,anushka,anushka21309@iiitd.ac.in,H1 boys hostel,417,"z,Pj?eZT}O5C"
2021310,dariya,dariya21310@iiitd.ac.in,H1 boys hostel,712,TKt_a[Y3(5?I
2021311,sujanti,sujanti21311@iiitd.ac.in,Old Boys Hostel,520,?)#z./a^r$ZF
2021312,joholal,joholal21312@iiitd.ac.in,,,"[TO,z|pyIGHe"
2021313,dipu,dipu21313@iiitd.ac.in,Girls Hostel,604,Du9|6$J8Ei[?
